productivity,io_density,entry_rate,found_prob,seed,firms_500,emp_rate_500,com_vac_500,com_rent_500,pop_500,firms_1000,emp_rate_1000,com_vac_1000,com_rent_1000,pop_1000,feasible
4.0,0.4,1.0,0.01,12,108,0.3881957773512476,0.6700620017714792,2.218343074324187,2084,54,0.39892665474060823,0.7068638604474782,1.5663268431930597,1118,true
5.5,0.4,1.0,0.01,12,107,0.39352720450281425,0.672077922077922,2.4516773537007577,2132,55,0.40483870967741936,0.6837899543378996,1.5988531462473805,1240,true
7.0,0.4,1.0,0.01,12,98,0.3613613613613614,0.7048627828598941,2.3567406426074116,1998,57,0.3840186190845617,0.6988188976377953,1.6077896008344024,1289,true
9.0,0.4,1.0,0.01,12,100,0.3587677725118483,0.7023121387283237,2.331045460447641,2110,63,0.42868217054263563,0.6970889063729347,1.4857971720236793,1290,true
4.0,0.6,1.0,0.01,12,164,0.26469248291571756,0.7028258887876025,2.322090795762998,2195,119,0.30145661811272956,0.7500953834414346,1.4995616945168462,1579,true
5.5,0.6,1.0,0.01,12,148,0.30177514792899407,0.7303424987940184,2.2436531705744276,2197,89,0.2877742946708464,0.768595041322314,1.7647577340107303,1595,true
7.0,0.6,1.0,0.01,12,108,0.3158620689655172,0.7594553706505295,2.4259830646524763,2175,80,0.2909090909090909,0.7828092243186583,1.8384846984941832,1760,true
9.0,0.6,1.0,0.01,12,106,0.3524189968930315,0.7638036809815951,2.4039530533104303,2253,97,0.2947725072604066,0.7598797250859106,2.007077908004683,2066,true
4.0,0.8,1.0,0.01,12,158,0.32924435721295386,0.7116104868913857,2.0720306984739327,2038,107,0.296078431372549,0.7608,1.5043965456317148,1530,true
5.5,0.8,1.0,0.01,12,128,0.3295985060690943,0.7416221466731423,2.164961121119459,2142,108,0.29923413566739604,0.7512355848434926,1.7956915316375435,1828,true
7.0,0.8,1.0,0.01,12,115,0.2925136341100645,0.7836048879837068,2.231021229002372,2017,94,0.2965631929046563,0.7834179357021996,1.8081444095962689,1804,true
9.0,0.8,1.0,0.01,12,133,0.33482142857142855,0.7622014537902388,2.359358187425864,2240,103,0.30327868852459017,0.7444444444444445,2.0148273311951255,2196,true
4.0,0.2,2.0,0.01,12,137,0.3885971492873218,0.5824915824915825,2.8058712639561194,2666,70,0.3802469135802469,0.6321104005385392,1.565956137535481,1620,true
5.5,0.2,2.0,0.01,12,158,0.39879901095019427,0.5824468085106383,2.7985580644896286,2831,95,0.3940936863543788,0.6031694695989651,1.7986999952596074,1964,true
7.0,0.2,2.0,0.01,12,125,0.36093990755007704,0.6219790241678067,2.538790471861725,2596,91,0.40621761658031086,0.5753743760399335,1.8413191522949788,1930,true
9.0,0.2,2.0,0.01,12,122,0.3488372093023256,0.6653771760154739,2.5094592367328215,2666,78,0.4030612244897959,0.6315409599422591,1.7086376612632392,1764,true
4.0,0.4,2.0,0.01,12,137,0.3885971492873218,0.5824915824915825,2.8058712639561194,2666,70,0.3802469135802469,0.6321104005385392,1.565956137535481,1620,true
5.5,0.4,2.0,0.01,12,158,0.39879901095019427,0.5824468085106383,2.7985580644896286,2831,95,0.3940936863543788,0.6031694695989651,1.7986999952596074,1964,true
7.0,0.4,2.0,0.01,12,125,0.36093990755007704,0.6219790241678067,2.538790471861725,2596,91,0.40621761658031086,0.5753743760399335,1.8413191522949788,1930,true
9.0,0.4,2.0,0.01,12,122,0.3488372093023256,0.6653771760154739,2.5094592367328215,2666,78,0.4030612244897959,0.6315409599422591,1.7086376612632392,1764,true
4.0,0.6,2.0,0.01,12,210,0.2828245678558293,0.6525573192239859,2.1927651199273357,2719,121,0.25396014307613696,0.7243303571428571,1.5325116862825632,1957,true
5.5,0.6,2.0,0.01,12,172,0.2922854038391887,0.6821561338289963,2.3288761019618627,2761,137,0.2631578947368421,0.7019083969465649,1.8498193695490397,2280,true
7.0,0.6,2.0,0.01,12,128,0.28538638102524866,0.7150671307807062,2.5041073345641878,2614,122,0.25542570951585974,0.7067578439259855,2.190805146288367,2396,true
9.0,0.6,2.0,0.01,12,122,0.30892790437056405,0.7355982274741507,2.437248588305566,2677,144,0.30100937274693584,0.6899918633034988,2.0690353148737244,2774,true
4.0,0.8,2.0,0.01,12,187,0.295616335706257,0.6622119815668203,2.4356840900896803,2669,182,0.2463903120633442,0.7047801147227534,1.512433300540613,2147,true
5.5,0.8,2.0,0.01,12,163,0.28315830416180476,0.6971131093232371,2.170268909139892,2571,151,0.24876847290640394,0.7059968847352025,1.6936578552249943,2436,true
7.0,0.8,2.0,0.01,12,122,0.2929824561403509,0.7506335529650279,2.3809773998445203,2280,118,0.27787091366303435,0.7134478424801005,2.0957741419626954,2386,true
