"tick","population","employed","unemployed","housed","unhoused","residential_units","vacant_residential_units","commercial_units","vacant_commercial_units","active_firms","firm_job_vacancies","firms_with_job_vacancies","committed_output","realized_sales","unsold_output","sold_out_firms","mean_wage","mean_residential_rent","mean_commercial_rent","mean_goods_price","housing_excess_supply","housing_excess_demand","labor_excess_supply","labor_excess_demand","commercial_space_excess_supply","goods_excess_supply","housing_vacancy_rate","commercial_vacancy_rate","goods_unsold_rate","employment_rate","housing_rate"
375,3703,3534,169,3527,176,5326,1799,2401,1232,221,444,96,6559,5862,697,138,39.8369269980595,1.08462692093555,1707.09452677161,14.7129955758212,1799,176,169,444,1232,697,0.337776943297033,0.513119533527697,0.106266199115719,0.954361328652444,0.952470969484202
376,3706,3533,173,3528,178,5327,1799,2404,1232,224,499,90,6585,5882,703,141,39.8863669543513,1.08446376041389,1756.95979019353,14.6295921499856,1799,178,173,499,1232,703,0.337713534822602,0.512479201331115,0.106757782839787,0.953318942255801,0.951969778737183
377,3707,3534,173,3528,179,5325,1797,2409,1237,220,426,85,6569,5861,708,150,39.9267309761344,1.08424581456479,1808.5150346258,14.8363806427488,1797,179,173,426,1237,708,0.337464788732394,0.513491075134911,0.107778961790227,0.953331534933909,0.951712975451848
378,3710,3528,182,3527,183,5329,1802,2411,1237,222,468,86,6598,5845,753,142,39.9599167263916,1.08436284005342,1859.5217328198,14.817516461464,1802,183,182,468,1237,753,0.338149746669169,0.513065118208212,0.114125492573507,0.950943396226415,0.950673854447439
379,3712,3537,175,3540,172,5332,1792,2413,1238,223,477,86,6597,5852,745,139,40.0182491112894,1.08490338393064,1912.54274487569,14.8022008042076,1792,172,175,477,1238,745,0.336084021005251,0.513054289266473,0.112930119751402,0.952855603448276,0.953663793103448
380,3713,3524,189,3535,178,5339,1804,2418,1245,219,418,88,6600,5818,782,142,40.0712374960034,1.08510745002909,1966.82943804473,15.0118557142666,1804,178,189,418,1245,782,0.337890990822251,0.514888337468983,0.118484848484848,0.949097764610827,0.952060328575276
381,3715,3544,171,3524,191,5339,1815,2421,1245,220,416,80,6582,5809,773,141,40.1360302249494,1.08438125153913,1981.8981734838,14.9863958902573,1815,191,171,416,1245,773,0.339951301741899,0.514250309789343,0.117441507140687,0.953970390309556,0.948586810228802
382,3715,3541,174,3524,191,5339,1815,2424,1242,225,509,82,6615,5805,810,134,40.1608567571291,1.08326729108059,2003.96248627544,14.8045415727919,1815,191,174,509,1242,810,0.339951301741899,0.512376237623762,0.122448979591837,0.953162853297443,0.948586810228802
383,3715,3554,161,3536,179,5345,1809,2428,1246,223,460,86,6614,5799,815,144,40.2243435681295,1.0837171935111,1990.33018023522,14.9350337790242,1809,179,161,460,1246,815,0.33844714686623,0.513179571663921,0.123223465376474,0.956662180349933,0.951816958277254
384,3718,3569,149,3535,183,5349,1814,2430,1246,222,427,81,6653,5849,804,133,40.275820538345,1.08346211877843,1986.78457393456,14.994422870811,1814,183,149,427,1246,804,0.339128809123201,0.51275720164609,0.120847737862618,0.959924690693922,0.950779989241528
385,3721,3549,172,3545,176,5356,1811,2432,1248,222,447,89,6688,5890,798,138,40.3429793621935,1.08383162490425,1992.61723733232,14.9723850107764,1811,176,172,447,1248,798,0.338125466766243,0.513157894736842,0.119318181818182,0.953775866702499,0.952700886858371
386,3723,3555,168,3551,172,5357,1806,2436,1252,220,405,88,6682,5867,815,138,40.388490537779,1.08397669369443,2005.6451613103,15.0665567191547,1806,172,168,405,1252,815,0.337128990106403,0.513957307060755,0.121969470218497,0.954875100725222,0.953800698361536
387,3727,3534,193,3548,179,5359,1811,2440,1252,223,480,88,6694,5867,827,140,40.4333996018664,1.08424565146156,2025.66160169891,14.9579981802404,1811,179,193,480,1252,827,0.33793618212353,0.513114754098361,0.12354347176576,0.94821572310169,0.951972095519184
388,3729,3540,189,3551,178,5359,1808,2445,1258,221,438,85,6635,5829,806,149,40.4849131298383,1.08569038244657,2051.50620383043,15.0343902066438,1808,178,189,438,1258,806,0.337376376189588,0.514519427402863,0.12147701582517,0.949316170555109,0.952266023062483
389,3729,3533,196,3547,182,5360,1813,2455,1273,221,445,79,6625,5818,807,131,40.5166668226568,1.08708759007821,2082.7533511786,15.0685352137987,1813,182,196,445,1273,807,0.338246268656716,0.518533604887984,0.121811320754717,0.947438991686779,0.951193349423438
390,3730,3535,195,3538,192,5366,1828,2456,1275,219,407,76,6616,5817,799,136,40.5309589260056,1.08704185669322,2119.4410803474,15.1977176191358,1828,192,195,407,1275,799,0.340663436451733,0.51913680781759,0.120767835550181,0.947721179624665,0.948525469168901
391,3730,3551,179,3540,190,5372,1832,2459,1277,219,391,78,6626,5854,772,145,40.5631951254219,1.08680228860628,2160.11526440367,15.2067011698924,1832,190,179,391,1277,772,0.341027550260611,0.519316795445303,0.116510715363719,0.95201072386059,0.949061662198391
392,3735,3564,171,3543,192,5376,1833,2463,1279,218,360,77,6658,5873,785,147,40.6033411586003,1.08655382454589,2152.19136979747,15.3037822276471,1833,192,171,360,1279,785,0.340959821428571,0.519285424279334,0.117903274256533,0.95421686746988,0.94859437751004
393,3739,3560,179,3541,198,5383,1842,2469,1285,218,364,75,6678,5893,785,138,40.6406934060559,1.08648922313781,2154.77222974494,15.361941222431,1842,198,179,364,1285,785,0.342188370796953,0.520453624949372,0.117550164719976,0.952126236961754,0.947044664348756
394,3741,3544,197,3539,202,5385,1846,2471,1280,221,434,86,6672,5898,774,125,40.6754348233891,1.08587299913051,2166.62922764525,15.2566462089069,1846,202,197,434,1280,774,0.34280408542247,0.518008903278025,0.116007194244604,0.947340283346699,0.946003742314889
395,3741,3555,186,3547,194,5392,1845,2471,1276,222,441,82,6621,5806,815,143,40.7308351210964,1.08546044719413,2186.75595366678,15.2216242625267,1845,194,186,441,1276,815,0.342173590504451,0.516390125455281,0.12309318834013,0.95028067361668,0.948142207965785
396,3742,3552,190,3545,197,5399,1854,2479,1287,218,372,91,6638,5852,786,136,40.7904501260409,1.08435497076402,2214.20576207636,15.4142917764577,1854,197,190,372,1287,786,0.343396925356548,0.519160951996773,0.118409159385357,0.949225013361839,0.94735435595938
