tick,firm_type,n_firms,uniq_prices,uniq_prices_r2,min_price_gap,tie_share_r2,mean_sellthrough
41.0,1.0,1,1,1,0.0,0.0,0.15625
41.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
41.0,3.0,1,1,1,0.0,0.0,0.0
41.0,4.0,1,1,1,0.0,0.0,0.6956521739130435
41.0,5.0,1,1,1,0.0,0.0,0.9565217391304348
41.0,6.0,1,1,1,0.0,0.0,0.8888888888888888
42.0,1.0,1,1,1,0.0,0.0,0.15625
42.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
42.0,3.0,1,1,1,0.0,0.0,0.0
42.0,4.0,1,1,1,0.0,0.0,0.6956521739130435
42.0,5.0,1,1,1,0.0,0.0,1.0
42.0,6.0,1,1,1,0.0,0.0,0.8518518518518519
43.0,1.0,1,1,1,0.0,0.0,0.15625
43.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
43.0,3.0,1,1,1,0.0,0.0,0.0
43.0,4.0,1,1,1,0.0,0.0,0.8695652173913043
43.0,5.0,1,1,1,0.0,0.0,0.71875
43.0,6.0,1,1,1,0.0,0.0,0.8888888888888888
44.0,1.0,1,1,1,0.0,0.0,0.15625
44.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
44.0,3.0,1,1,1,0.0,0.0,0.0
44.0,4.0,1,1,1,0.0,0.0,0.8695652173913043
44.0,5.0,1,1,1,0.0,0.0,0.75
44.0,6.0,1,1,1,0.0,0.0,0.8518518518518519
45.0,1.0,1,1,1,0.0,0.0,0.15625
45.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
45.0,3.0,1,1,1,0.0,0.0,0.0
45.0,4.0,1,1,1,0.0,0.0,0.8695652173913043
45.0,5.0,1,1,1,0.0,0.0,0.875
45.0,6.0,1,1,1,0.0,0.0,0.8148148148148148
46.0,1.0,1,1,1,0.0,0.0,0.15625
46.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
46.0,3.0,1,1,1,0.0,0.0,0.0
46.0,4.0,1,1,1,0.0,0.0,0.9565217391304348
46.0,5.0,1,1,1,0.0,0.0,0.84375
46.0,6.0,1,1,1,0.0,0.0,0.6756756756756757
47.0,1.0,1,1,1,0.0,0.0,0.15625
47.0,2.0,1,1,1,0.0,0.0,0.6521739130434783
47.0,3.0,1,1,1,0.0,0.0,0.0
47.0,4.0,1,1,1,0.0,0.0,0.9565217391304348
47.0,5.0,1,1,1,0.0,0.0,0.84375
47.0,6.0,1,1,1,0.0,0.0,0.6756756756756757
48.0,1.0,1,1,1,0.0,0.0,0.21875
48.0,2.0,1,1,1,0.0,0.0,0.75
48.0,3.0,1,1,1,0.0,0.0,0.0
48.0,4.0,1,1,1,0.0,0.0,0.9166666666666666
48.0,5.0,1,1,1,0.0,0.0,0.875
48.0,6.0,1,1,1,0.0,0.0,0.6486486486486487
49.0,1.0,1,1,1,0.0,0.0,0.21875
49.0,2.0,1,1,1,0.0,0.0,0.875
49.0,3.0,1,1,1,0.0,0.0,0.0
