tick,firm_id,firm_type,reason,cash_before_exit,revenue_this_tick,wages_this_tick,commercial_rent_this_tick,capital_rental_this_tick,process_rental_this_tick,input_cost_this_tick,profit_this_tick,worker_count,capital_units,process_count,commercial_units,last_plan_tick,last_plan_passed,last_plan_projected_end_cash,last_plan_total_cost,last_plan_buffer
2199,129,6,negative_cash,-19.17759408928272,159.9893828905311,88.8530324201713,2.0,1.75,1.7999999999999998,98.0,-32.41364952964021,9,7,3,2,2183,1,193.1537667137709,2305.393981736759,589.0958068608657
2214,128,6,negative_cash,-53.610179994570345,57.9441820893871,40.0,2.0,2.25,1.2,70.0,-57.505817910612905,4,9,2,2,2200,1,215.5747950005342,2122.181818181818,547.1551172736046
2219,146,1,negative_cash,-1.1037546417500614,2.9115967668310527,10.0,2.0,0.5,0.6,0.0,-10.188403233168946,1,2,1,2,2203,1,104.15991279191704,74.0,27.424735799501804
2242,142,1,negative_cash,-2.8758466567780268,2.9410068351828818,10.0,4.0,0.5,0.6,0.0,-12.158993164817117,1,2,1,4,2232,1,46.798249035782305,114.0,28.5
2257,143,1,negative_cash,-3.2892721398583884,5.646733123551133,10.0,3.0,0.5,0.6,0.0,-8.453266876448867,1,2,1,3,2239,1,81.81022440056938,82.0,30.58938162234613
2265,156,5,negative_cash,-10.982924199019152,23.933974895694025,10.0,1.0,0.5,0.6,28.787320483128724,-16.953345587434697,1,2,1,1,2246,1,205.3210724492794,459.66915267397604,126.90084727840255
2278,154,3,negative_cash,-0.8523264396252284,9.644131156237995,10.0,2.0,0.25,0.6,8.050033249675897,-11.255902093437902,1,1,1,2,2272,0,-25.39605581862036,177.75049843056564,49.546210149434096
2286,150,2,negative_cash,-0.516403944689503,0.0,0.0,1.0,0.25,0.6,0.0,-1.85,0,1,1,1,2285,0,-69.9164039446895,57.0,14.25
2290,139,6,negative_cash,-19.46741324581953,111.76213049723268,60.0,2.0,1.25,1.7999999999999998,70.0,-23.28786950276732,6,5,3,2,2276,1,98.67606376848778,1868.3529411764707,489.424694156981
2302,141,4,negative_cash,-1.25398017959307,0.0,0.0,2.0,0.5,0.6,0.0,-3.1,0,2,1,2,2286,0,-39.153980179593056,82.0,20.5
2304,163,5,negative_cash,-64.07336769998392,0.0,19.26367295884201,1.0,0.5,0.6,70.0,-91.36367295884202,2,2,1,1,2267,1,3393.7462047360127,0.0,0.0
2306,166,5,negative_cash,-42.8741136746263,0.0,19.016728887489705,1.0,0.5,0.6,70.0,-91.1167288874897,2,2,1,1,2270,1,3044.22361605136,0.0,0.0
2306,162,5,negative_cash,-87.42792768147233,0.0,21.124640116461517,1.0,0.5,0.6,70.0,-93.22464011646152,2,2,1,1,2266,1,3617.1382118339056,0.0,0.0
2306,165,5,negative_cash,-44.4203871438134,0.0,20.98376827705377,1.0,0.5,0.6,63.0,-86.08376827705376,2,2,1,1,2269,1,3226.7628073842325,0.0,0.0
2307,164,5,negative_cash,-12.798266859084833,0.0,20.0,1.0,0.5,0.6,63.0,-85.1,2,2,1,1,2268,1,3319.6836062353705,0.0,0.0
2310,145,1,negative_cash,-1.2839022578525032,0.0,0.0,4.0,0.25,0.6,0.0,-4.85,0,1,1,4,2300,0,-99.0339022578525,117.0,29.25
2319,167,5,negative_cash,-59.059744812969384,15.0,19.243619427705266,1.0,0.5,0.6,63.0,-69.34361942770526,2,2,1,1,2276,1,3016.586189975747,0.0,0.0
2321,148,2,negative_cash,-1.3487288410221128,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,2314,0,-75.64872884102212,77.0,19.25
2324,152,3,negative_cash,-0.031739471707793676,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,2311,0,-46.23173947170778,77.0,19.25
2336,153,3,negative_cash,-1.3977350956439798,0.0,0.0,3.0,0.25,0.6,0.0,-3.85,0,1,1,3,2331,0,-78.39773509564398,77.0,19.25
2339,149,2,negative_cash,-0.8086881496621503,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,2325,0,-47.15868814966214,77.0,19.25
2342,125,6,negative_cash,-7.660525526288112,62.87203055265855,30.0,2.0,2.5,1.2,56.0,-28.82796944734145,3,10,2,2,2334,1,28.389427040930173,1498.6461706904229,389.03587448565133
2343,147,2,negative_cash,-1.6210702982883758,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,2335,0,-50.071070298288376,57.0,14.25
2356,151,2,negative_cash,-0.3410526404457075,0.0,0.0,2.0,0.25,0.6,0.0,-2.85,0,1,1,2,2339,0,-38.14105264044569,77.0,19.25
2357,140,6,negative_cash,-42.11491064350312,114.05962287344222,80.0,2.0,2.0,2.4,90.74119001645602,-63.08156714301379,8,8,4,2,2343,1,32.153313201488686,2823.1372549019607,714.753819071184
