tick,d_population,d_employed,d_unemployed,d_housed,d_unhoused,d_residential_units,d_vacant_residential_units,d_commercial_units,d_vacant_commercial_units,d_active_firms,d_firm_job_vacancies,d_firms_with_job_vacancies,d_committed_output,d_realized_sales,d_unsold_output,d_sold_out_firms,d_mean_wage,d_mean_residential_rent,d_mean_commercial_rent,d_mean_goods_price
2743.0,3.0,-1.0,4.0,-1.0,4.0,1.0,2.0,-1.0,-1.0,0.0,0.0,0.0,2.0,4.0,-2.0,2.0,-0.004299854415217297,-0.0019028210051568184,0.0,-0.013935147454775532
2744.0,0.0,1.0,-1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,-3.0,-1.0,-0.0011349281934798228,-0.0019589456907418423,0.0,-0.009054529307977788
2745.0,-1.0,0.0,-1.0,-3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,-2.0,0.0,-0.002124794692446086,0.0,-0.020244276327056276
2746.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,3.0,-4.0,7.0,0.0,0.0,0.00034307303639447007,-0.00027405635300370434,-0.005536103675537696
2747.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-6.289999176245509e-5,0.0,-0.018547779185809965
2748.0,0.0,0.0,0.0,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,-1.0,0.0,-0.0034256414566748994,0.0,-0.021016377765741723
2749.0,0.0,0.0,0.0,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,4.0,-4.0,8.0,0.0,0.0,-0.0029724885070492313,0.0,-0.02205543825732903
2750.0,0.0,-6.0,6.0,2.0,-2.0,0.0,-2.0,0.0,1.0,-1.0,0.0,0.0,-30.0,-26.0,-4.0,-1.0,0.007205474344649687,-0.0009515373948651984,0.00013458124477860878,0.005444864050352827
2751.0,0.0,0.0,0.0,-2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,-29.0,6.0,0.0,0.0007051878887833762,0.0,-0.019485832431897165
2752.0,0.0,-2.0,2.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,-15.0,-3.0,-12.0,-3.0,-0.01812677323141898,0.001135117970000099,-0.00013458124477860878,-0.11503245992441613
2753.0,0.0,2.0,-2.0,-2.0,2.0,0.0,2.0,1.0,-1.0,1.0,0.0,0.0,6.0,3.0,3.0,1.0,-0.024657424209390655,0.00036037517716391854,-0.0002554762612747563,0.0984381331662485
2754.0,1.0,-1.0,2.0,-3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,16.0,7.0,9.0,2.0,0.0007964675589455794,-0.0036356460855981876,0.0,-0.013712574438395464
2755.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,1.0,-6.0,2.0,-0.0007964675589455794,-0.0025904645197383225,0.0,-0.016062289615040193
2756.0,-4.0,1.0,-5.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.0007781579598908905,-0.004390326531108046,0.0,0.003894372453865813
2757.0,0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,-6.0,7.0,-1.0,0.0,-0.003004613192333583,-0.00012135122410539267,0.0023647450871839837
2758.0,1.0,1.0,0.0,4.0,-3.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,4.0,-10.0,14.0,-3.0,-0.0007604725517111888,0.00012410632816584055,0.0,-0.02761264605673386
2759.0,0.0,1.0,-1.0,3.0,-3.0,0.0,-3.0,0.0,-2.0,0.0,0.0,0.0,2.0,-3.0,5.0,-1.0,-0.0007433832808860785,0.004154945833731105,-0.00023095878136203396,-0.01156013834541536
2760.0,1.0,1.0,0.0,-1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,-1.0,-0.0007268636524226935,0.000581203362322924,0.0,-0.004906218025951148
2761.0,0.0,0.0,0.0,-2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,-1.0,0.0,0.0,0.00322869305601281,0.0,-0.014467490851314935
2762.0,0.0,0.0,0.0,2.0,-2.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,-1.0,0.0,0.008008054657651087,0.0,0.0053990347094750035
2763.0,0.0,-3.0,3.0,-3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,-1.0,1.0,0.0022307194850199608,0.007704000977189818,0.0,-0.013991552932920648
2764.0,-2.0,0.0,-2.0,-1.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-11.0,3.0,-14.0,3.0,0.01112542614119505,0.005661049970758114,0.0,0.0013449127969797914
2765.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,-11.0,13.0,-6.0,0.0009075233801372207,0.0038202709860215567,-0.00010998037207698985,-0.01302570951285098
2766.0,0.0,0.0,0.0,-2.0,2.0,0.0,2.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-9.0,9.0,0.0,0.0,-0.002293659651692481,-0.00010654348544969494,0.02406579157652544
2767.0,0.0,0.0,0.0,3.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,-1.0,1.0,0.0,0.0015438218803898174,0.0,-0.008776967410362602
2768.0,0.0,0.0,0.0,-2.0,2.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,2.0,-2.0,4.0,0.0,0.0,0.0022902144834122673,-0.00010326522435888386,-0.011300749132839627
